date,iphone,perfume,redmi
2025-04-23,71,19,21
2025-04-24,68,16,21
2025-04-25,65,14,22
2025-04-26,74,17,21
2025-04-27,83,18,25
2025-04-28,72,15,23
2025-04-29,75,15,22
2025-04-30,76,15,21
2025-05-01,83,17,26
2025-05-02,78,15,23
2025-05-03,84,17,23
2025-05-04,84,17,25
2025-05-05,78,16,23
2025-05-06,73,16,22
2025-05-07,66,13,19
2025-05-08,66,14,21
2025-05-09,72,15,23
2025-05-10,79,17,24
2025-05-11,93,20,27
2025-05-12,86,15,22
2025-05-13,81,16,22
2025-05-14,80,15,23
2025-05-15,85,16,23
2025-05-16,84,15,23
2025-05-17,84,16,25
2025-05-18,90,17,26
2025-05-19,81,15,23
2025-05-20,74,14,23
2025-05-21,79,14,23
2025-05-22,77,14,22
2025-05-23,74,14,21
2025-05-24,78,16,25
2025-05-25,88,17,25
2025-05-26,79,15,23
2025-05-27,78,14,23
2025-05-28,77,15,23
2025-05-29,73,14,23
2025-05-30,75,15,22
2025-05-31,89,18,24
2025-06-01,90,20,25
2025-06-02,78,18,23
2025-06-03,71,13,20
2025-06-04,75,15,25
2025-06-05,84,17,25
2025-06-06,84,17,24
2025-06-07,89,18,27
2025-06-08,97,22,28
2025-06-09,87,17,26
2025-06-10,93,16,25
2025-06-11,90,17,24
2025-06-12,80,15,24
2025-06-13,78,15,22
2025-06-14,81,17,24
2025-06-15,95,20,28
2025-06-16,77,15,24
2025-06-17,80,16,26
2025-06-18,75,15,25
2025-06-19,79,16,23
2025-06-20,79,15,22
2025-06-21,80,16,26
2025-06-22,91,18,27
2025-06-23,74,16,24
2025-06-24,81,16,23
2025-06-25,83,16,27
2025-06-26,75,15,28
2025-06-27,83,16,31
2025-06-28,90,17,28
2025-06-29,99,19,30
2025-06-30,86,16,26
2025-07-01,81,17,26
2025-07-02,80,17,24
2025-07-03,76,17,23
2025-07-04,76,16,24
2025-07-05,79,17,25
2025-07-06,93,20,27
2025-07-07,79,17,24
2025-07-08,80,16,23
2025-07-09,84,18,26
2025-07-10,81,17,27
2025-07-11,85,18,29
2025-07-12,95,20,32
2025-07-13,99,21,33
2025-07-14,82,17,28
2025-07-15,84,18,28
2025-07-16,87,18,29
2025-07-17,83,18,28
2025-07-18,75,19,26
2025-07-19,85,21,28
2025-07-20,100,23,31
2025-07-21,81,17,27
2025-07-22,80,18,25
2025-07-23,71,16,26
